From	To
O94826	TOMM70
O94829	IPO13
O94830	DDHD2
O94832	MYO1D
O94842	TOX4
O94851	MICAL2
O94855	SEC24D
O94864	SUPT7L
O94874	UFL1
O94876	TMCC1
O94885	SASH1
O94886	TMEM63A
O94888	UBXN7
O94892	ZNF432
O94903	PLPBP
O94906	PRPF6
O94913	PCF11
O94915	FRYL
O94919	ENDOD1
O94921	CDK14
O94925	GLS
O94927	HAUS5
O94941	UBOX5
O94964	MTCL2
O94966	USP19
O94967	WDR47
O94973	AP2A2
O94986	CEP152
O94992	HEXIM1
O95059	RPP14
O95071	UBR5
O95104	SCAF4
O95139	NDUFB6
O95140	MFN2
O95149	SNUPN
O95155	UBE4B
O95159	ZFPL1
O95163	ELP1
O95168	NDUFB4
O95169	NDUFB8
O95182	NDUFA7
O95183	VAMP5
O95197	RTN3
O95198	KLHL2
O95202	LETM1
O95210	STBD1
O95218	ZRANB2
